Date;City, State ;School Name ;State;School Type ;Category;Attack;Latitude;Longitude
10 02 2015;University City, MO ;University City High School ;MO;K-12 ;Attack on other persons(s) resulting in injury or death;1;38.665088;-90.329303
10 01 2015;Roseburg, OR ;Umpqua Community College ;OR;College ;Attack on other persons(s) resulting in injury or death;1;43.289522;-123.333247
09 30 2015;Harrisburg, SD ;Harrisburg High School ;SD;K-12 ;Attack on other persons(s) resulting in injury or death;1;43.434295;-96.719448
09 28 2015;Butte, MT ;Montana Tech of the University of Montana ;MT;College ;Gun fired but no one injured;0;46.012346;-112.557698
09 22 2015;Statesville, NC ;Central Elementary School ;NC;K-12 ;Attack on other persons(s) resulting in injury or death;1;35.927912;-80.960631
09 14 2015;Cleveland, MS ;Delta State University ;MS;College ;Attack on other persons(s) resulting in injury or death;1;33.745378;-90.735451
09 11 2015;Lafayette, LA ;Northside High School ;LA;K-12 ;Attack on other persons(s) resulting in injury or death;1;30.251483;-92.002838
09 03 2015;Sacramento, CA ;Sacramento City College ;CA;College ;Attack on other persons(s) resulting in injury or death;1;38.540867;-121.491488
08 27 2015;Savannah, GA ;Savannah State University ;GA;College ;Attack on other persons(s) resulting in injury or death;1;32.024521;-81.062637
08 26 2015;Houston, TX ;Texas Southern University ;TX;College ;Attack on other persons(s) resulting in injury or death;1;29.721763;-95.360612
08 25 2015;Augusta, GA ;Hornsby Elementary School ;GA;K-12 ;Gun fired unintentionally resulting in injury or death;0;33.459921;-81.937786
08 23 2015;Richmond, TX ;William Velasquez Elementary ;TX;K-12 ;Gun fired but no one injured;0;29.539189;-95.683017
08 08 2015;Wichita, KS ;Wichita State ;KS;College ;Attack on other persons(s) resulting in injury or death;1;37.719393;-97.292869
08 08 2015;Paradise, TX ;Paradise High School ;TX;K-12 ;Gun fired but no one injured;0;33.144268;-97.690696
07 27 2015;Gainesville, FL ;University of Florida ;FL;College ;Gun fired but no one injured;0;29.643633;-82.35493
07 24 2015;Converse, TX ;Elolf Elementary School ;TX;K-12 ;Attack on other persons(s) resulting in injury or death;1;29.486211;-98.31754
07 05 2015;Dallas, TX ;Coppell Middle School East ;TX;K-12 ;Attack on other persons(s) resulting in injury or death;1;32.961876;-96.996092
06 23 2015;Fort Calhoun, NE ;Fort Calhoun Elementary School ;NE;K-12 ;Gun fired but no one injured;0;41.456361;-96.021647
06 04 2015;Franklin, NC ;South Macon Elementary School ;NC;K-12 ;Gun fired but no one injured;0;35.113436;-83.399244
05 27 2015;Everglades City, FL ;Everglades City School ;FL;K-12 ;Attack on other persons(s) resulting in injury or death;1;25.864086;-81.387025
05 24 2015;Flint, MI ;Southwestern Classical Academy ;MI;K-12 ;Attack on other persons(s) resulting in injury or death;1;42.998104;-83.699571
05 20 2015;Robinson, TX ;Robinson High School ;TX;K-12 ;Attempted or completed suicide, with no intent to injure other person;0;31.462716;-97.121388
05 12 2015;Tempe, AZ ;Corona del Sol High School ;AZ;K-12 ;Attempted or completed suicide, with no intent to injure other person;0;33.325218;-111.926166
05 05 2015;Conyers, GA ;Conyers Middle School ;GA;K-12 ;Gun fired but no one injured;0;33.683907;-84.004715
05 04 2015;Cleveland, OH ;Willow Elementary School ;OH;K-12 ;Attack on other persons(s) resulting in injury or death;1;41.475314;-81.656187
05 04 2015;Orem, UT ;Utah Valley Univeristy ;UT;College ;Gun fired unintentionally resulting in injury or death;0;40.278831;-111.715197
04 27 2015;Lacey, WA ;North Thurston High School ;WA;K-12 ;Gun fired but no one injured;0;47.052296;-122.832465
04 22 2015;Las Vegas, NV ;Ruthe Deskin Elementary School ;NV;K-12 ;Gun fired but no one injured;0;36.243462;-115.255142
04 19 2015;Dover, DE ;Delaware State University ;DE;College ;Attack on other persons(s) resulting in injury or death;1;39.186137;-75.542273
04 19 2015;Charlotte, NC ;Johnson C. Smith University ;NC;College ;Attack on other persons(s) resulting in injury or death;1;35.242719;-80.856212
04 18 2015;Dover, DE ;Delaware State University ;DE;College ;Attack on other persons(s) resulting in injury or death;1;39.186137;-75.542273
04 17 2015;Seguin, TX ;Seguin High School ;TX;K-12 ;Attempted or completed suicide, with no intent to injure other person;0;29.577649;-97.946973
04 13 2015;Goldsboro, NC ;Wayne Community College ;NC;College ;Attack on other persons(s) resulting in injury or death;1;35.403079;-77.944468
04 04 2015;Everett, WA ;Everett Community College ;WA;College ;Gun fired but no one injured;0;48.005977;-122.203897
04 02 2015;Monaca, PA ;Community College of Beaver County ;PA;College ;Gun fired unintentionally resulting in injury or death;0;40.656203;-80.305293
04 02 2015;Jackson, TN ;Lane College ;TN;College ;Attack on other persons(s) resulting in injury or death;1;35.627775;-88.806113
03 09 2015;Coon Rapids, MN ;Northwest Passage High School ;MN;K-12 ;Attempted or completed suicide, with no intent to injure other person;0;45.177287;-93.307583
02 23 2015;Daytona Beach, FL ;Bethune-Cookman University ;FL;College ;Attack on other persons(s) resulting in injury or death;1;29.21101;-81.031575
02 15 2015;Athens, GA ;University of Georgia ;GA;College ;Gun fired but no one injured;0;33.948005;-83.377322
02 15 2015;Little Rock, AR ;Lawson Elementary School ;AR;K-12 ;Attack on other persons(s) resulting in injury or death;1;34.716293;-92.493574
02 15 2015;Merced, CA ;Tenaya Middle School ;CA;K-12 ;Attack on other persons(s) resulting in injury or death;1;37.292839;-120.494082
02 05 2015;Columbia, SC ;University of South Carolina ;SC;College ;Attack on other persons(s) resulting in injury or death;1;33.996112;-81.027428
02 04 2015;Frederick, MD ;Frederick High School ;MD;K-12 ;Attack on other persons(s) resulting in injury or death;1;39.416805;-77.42732
02 02 2015;Mankato, MN ;Minnesota State University ;MN;College ;Attempted or completed suicide, with no intent to injure other person;0;44.146351;-93.998613
01 26 2015;Roseville, MN ;Hand and Hand Montessori ;MN;K-12 ;Attack on other persons(s) resulting in injury or death;1;45.004796;-93.178906
01 23 2015;Hardeeville, SC ;Royal Live Oaks Academy ;SC;K-12 ;Gun fired but no one injured;0;32.29747;-81.095988
01 20 2015;Mobile, AL ;Williamson High School ;AL;K-12 ;Attack on other persons(s) resulting in injury or death;1;30.669743;-88.074174
01 16 2015;Ocala, FL ;Vanguard High School ;FL;K-12 ;Attack on other persons(s) resulting in injury or death;1;29.217367;-82.137149
01 15 2015;Milwaukee, WI ;Wisconson Lutheran High School ;WI;K-12 ;Attack on other persons(s) resulting in injury or death;1;43.033728;-88.016388
12 17 2014;Pittsburgh, PA ;Sunnyside Elementary School ;PA;K-12 ;Attack on other persons(s) resulting in injury or death;1;40.481059;-79.933611
12 17 2014;Waterville, ME ;Benton Elementary School ;ME;K-12 ;Attempted or completed suicide, with no intent to injure other person;0;44.589019;-69.578042
12 05 2014;Claremore, OK ;Rogers State University ;OK;College ;Attack on other persons(s) resulting in injury or death;1;36.318252;-95.640635
11 23 2014;Annapolis, MD ;St Johns College ;MD;College ;Attack on other persons(s) resulting in injury or death;1;38.981963;-76.491536
11 20 2014;Tallahasse, FL ;Florida State University ;FL;College ;Attack on other persons(s) resulting in injury or death;1;30.441878;-84.298489
10 24 2014;Marysville, WA ;Marysville Pilchuck High School ;WA;K-12 ;Attack on other persons(s) resulting in injury or death;1;48.096469;-122.154923
10 21 2014;Memphis, TN ;A. Maceo Walker Middle School ;TN;K-12 ;Gun fired unintentionally resulting in injury or death;0;35.03682;-90.000987
10 18 2014;Langston, OK ;Langston University ;OK;College ;Attack on other persons(s) resulting in injury or death;1;35.945962;-97.262907
10 13 2014;Nashville, TN ;Tennessee State University ;TN;College ;Gun fired but no one injured;0;36.166822;-86.827582
10 08 2014;Elizabeth City, NC ;Elizabeth City State University ;NC;College ;Gun fired but no one injured;0;36.281065;-76.21396
10 03 2014;Fairburn, GA ;Langston Hughes High School ;GA;K-12 ;Attack on other persons(s) resulting in injury or death;1;33.61657;-84.633788
09 30 2014;Albermarle, NC ;Abermarle High school ;NC;K-12 ;Attack on other persons(s) resulting in injury or death;1;35.371249;-80.192758
09 30 2014;Louisville, KY ;Fern Creek High School ;KY;K-12 ;Attack on other persons(s) resulting in injury or death;1;38.156145;-85.592745
09 29 2014;Terre Haute, IN ;Indiana State University ;IN;College ;Attack on other persons(s) resulting in injury or death;1;39.470531;-87.410374
09 27 2014;Nashville, TN ;Tennessee State University ;TN;College ;Attack on other persons(s) resulting in injury or death;1;36.166822;-86.827582
09 11 2014;Taylorsville, UT ;Westbrook Elementary School ;UT;K-12 ;Gun fired unintentionally resulting in injury or death;0;40.637701;-111.972921
09 10 2014;Lake Mary, FL ;Greenwood Lakes Middle School ;FL;K-12 ;Attempted or completed suicide, with no intent to injure other person;0;28.735746;-81.340688
09 05 2014;Savannah, GA ;Savannah State University ;GA;College ;Attack on other persons(s) resulting in injury or death;1;32.024521;-81.062637
09 02 2014;Pocatello, ID ;Idaho State University ;ID;College ;Gun fired unintentionally resulting in injury or death;0;42.862723;-112.429716
08 14 2014;Newport News, VA ;Saunders Elementary ;VA;K-12 ;Attack on other persons(s) resulting in injury or death;1;37.086806;-76.454432
08 13 2014;Fredrick, MD ;Heather Ridge High school ;MD;K-12 ;Gun fired but no one injured;0;39.43627;-77.413024
06 27 2014;Miami, FL ;University of Miami ;FL;College ;Gun fired but no one injured;0;25.719169;-80.277125
06 23 2014;Benton, MO ;Kelly High School ;MO;K-12 ;Gun fired unintentionally resulting in injury or death;0;37.045448;-89.474625
06 10 2014;Troutdale, OR ;Reynolds High School ;OR;K-12 ;Attack on other persons(s) resulting in injury or death;1;45.528581;-122.402484
06 05 2014;Seattle, WA ;Seattle Pacific University ;WA;College ;Attack on other persons(s) resulting in injury or death;1;47.649581;-122.361537
05 21 2014;Milwaukee, WI ;Clarke Street School Playground ;WI;K-12 ;Attack on other persons(s) resulting in injury or death;1;43.066315;-87.949356
05 08 2014;Lawrenceville, GA ;Georgia Gwinnett College ;GA;College ;Attempted or completed suicide, with no intent to injure other person;0;33.97908;-84.005416
05 08 2014;Georgetown, KY ;Georgetown College ;KY;College ;Gun fired unintentionally resulting in injury or death;0;38.207007;-84.554323
05 05 2014;Augusta, GA ;Paine College ;GA;College ;Attack on other persons(s) resulting in injury or death;1;33.469555;-81.993254
05 04 2014;Augusta, GA ;Paine College ;GA;College ;Attack on other persons(s) resulting in injury or death;1;33.469555;-81.993254
05 03 2014;Everett, WA ;Horizon Elementary ;WA;K-12 ;Attack on other persons(s) resulting in injury or death;1;47.920589;-122.236939
05 02 2014;Milwaukee, WI ;Marquette University ;WI;College ;Attack on other persons(s) resulting in injury or death;1;43.038222;-87.929755
04 21 2014;Provo, UT ;Provo High School ;UT;K-12 ;Attempted or completed suicide, with no intent to injure other person;0;40.247999;-111.659547
04 21 2014;Griffith, IN ;St. Mary Catholic School ;IN;K-12 ;Attack on other persons(s) resulting in injury or death;1;41.531422;-87.42691
04 16 2014;Council Bluffs, IA ;Iowa Western Community College ;IA;College ;Attack on other persons(s) resulting in injury or death;1;41.272829;-95.801108
04 11 2014;Detroit, MI ;East English Village Preparatory Academy ;MI;K-12 ;Attack on other persons(s) resulting in injury or death;1;42.408031;-82.929053
04 03 2014;Kent, OH ;Kent State University ;OH;College ;Gun fired unintentionally resulting in injury or death;0;41.149063;-81.341465
03 30 2014;Savannah, GA ;Savannah State University ;GA;College ;Gun fired but no one injured;0;32.024521;-81.062637
03 23 2014;Newark, DE ;University of Delaware ;DE;College ;Gun fired but no one injured;0;39.67795;-75.750611
03 08 2014;Oshkosh, WI ;University of Wisconsin - Oshkosh ;WI;College ;Gun fired but no one injured;0;44.025319;-88.551021
03 07 2014;Tallulah, LA ;Madison Parish High School ;LA;K-12 ;Attack on other persons(s) resulting in injury or death;1;32.398281;-91.207432
03 02 2014;Westminster, MD ;McDaniel College ;MD;College ;Gun fired but no one injured;0;39.582991;-77.003719
02 20 2014;Raytown, MO ;Raytown Success Academy ;MO;K-12 ;Attack on other persons(s) resulting in injury or death;1;39.029548;-94.476674
02 12 2014;Jackson, TN ;Union University ;TN;College ;Attack on other persons(s) resulting in injury or death;1;35.677378;-88.859591
02 11 2014;Lyndhurst, OH ;Charles F. Brush High School ;OH;K-12 ;Gun fired but no one injured;0;41.522032;-81.505297
02 10 2014;Salisbury, NC ;Salisbury High School ;NC;K-12 ;Attack on other persons(s) resulting in injury or death;1;35.664634;-80.48514
02 07 2014;Bend, OR ;Bend High School ;OR;K-12 ;Attempted or completed suicide, with no intent to injure other person;0;44.052599;-121.295763
01 31 2014;Des Moines, IA ;North High School ;IA;K-12 ;Attack on other persons(s) resulting in injury or death;1;41.617705;-93.623207
01 31 2014;Phoenix, AZ ;Cesar Chavez High School ;AZ;K-12 ;Gun fired but no one injured;0;33.375833;-112.145292
01 28 2014;Grambling, LA ;Grambling State University ;LA;College ;Attack on other persons(s) resulting in injury or death;1;32.521291;-92.719296
01 28 2014;Nashville, TN ;Tennessee State University ;TN;College ;Attack on other persons(s) resulting in injury or death;1;36.166822;-86.827582
01 24 2014;Orangeburg, SC ;South Carolina State University ;SC;College ;Attack on other persons(s) resulting in injury or death;1;33.498344;-80.850149
01 21 2014;West Lafayette, IN ;Purdue University ;IN;College ;Attack on other persons(s) resulting in injury or death;1;40.423705;-86.921195
01 20 2014;Chester, PA ;Widener University ;PA;College ;Attack on other persons(s) resulting in injury or death;1;39.863356;-75.356675
01 17 2014;Philadelphia, PA ;Delaware Valley Charter High School ;PA;K-12 ;Gun fired unintentionally resulting in injury or death;0;40.032961;-75.144631
01 15 2014;Lancaster, PA ;King Elementary School ;PA;K-12 ;Gun fired but no one injured;0;40.034016;-76.299557
01 14 2014;Roswell, NM ;Berrendo Middle School ;NM;K-12 ;Attack on other persons(s) resulting in injury or death;1;33.473034;-104.512369
01 09 2014;Jackson, TN ;Liberty Technology Magnet High School ;TN;K-12 ;Attack on other persons(s) resulting in injury or death;1;35.674849;-88.759997
12 19 2013;Fresno, CA ;Edison High School ;CA;K-12 ;Attack on other persons(s) resulting in injury or death;1;36.719865;-119.805839
12 13 2013;Centennial, CO ;Arapahoe High School ;CO;K-12 ;Attack on other persons(s) resulting in injury or death;1;39.581609;-104.962797
12 04 2013;Winter Garden, FL ;West Orange High School ;FL;K-12 ;Attack on other persons(s) resulting in injury or death;1;28.540662;-81.568427
11 21 2013;Rapid City, SD ;South Dakota School of Mines & Technology ;SD;College ;Attack on other persons(s) resulting in injury or death;1;44.07343;-103.206296
11 03 2013;Stone Mountain, GA ;Stephenson High School ;GA;K-12 ;Attack on other persons(s) resulting in injury or death;1;33.774596;-84.124548
11 02 2013;Greensboro, NC ;North Carolina A&T State University ;NC;K-12 ;Attack on other persons(s) resulting in injury or death;1;36.074129;-79.774838
11 01 2013;Algona, IA ;Algona High/Middle School ;IA;K-12 ;Attempted or completed suicide, with no intent to injure other person;0;43.063484;-94.22356
10 21 2013;Sparks, NV ;Sparks Middle School ;NV;K-12 ;Attack on other persons(s) resulting in injury or death;1;39.55199;-119.7683
10 15 2013;Austin, TX ;Lanier High School ;TX;K-12 ;Attempted or completed suicide, with no intent to injure other person;0;30.360485;-97.707898
10 04 2013;Pine Hills, FL ;Agape Christian Academy ;FL;K-12 ;Attack on other persons(s) resulting in injury or death;1;28.575084;-81.475435
09 28 2013;Gray, ME ;Gray-New Gloucester High School ;ME;K-12 ;Attempted or completed suicide, with no intent to injure other person;0;43.902928;-70.349919
09 21 2013;Savannah, GA ;Savannah State University ;GA;College ;Attack on other persons(s) resulting in injury or death;1;32.024521;-81.062637
08 30 2013;Winston-Salem, NC ;Carver High School ;NC;K-12 ;Attack on other persons(s) resulting in injury or death;1;36.134237;-80.207107
08 23 2013;Sardis, MS ;North Panola High School ;MS;K-12 ;Attack on other persons(s) resulting in injury or death;1;34.443024;-89.925031
08 22 2013;Memphis, TN ;Westside Elementary School ;TN;K-12 ;Gun fired but no one injured;0;35.216761;-90.037218
08 20 2013;Decatur, GA ;Ronald E. McNair Discovery Learning Academy ;GA;K-12 ;Gun fired but no one injured;0;33.727219;-84.306962
08 15 2013;Clarksville, TN ;Northwest High School ;TN;K-12 ;Attack on other persons(s) resulting in injury or death;1;36.574608;-87.433804
06 19 2013;West Palm Beach, FL ;Alexander W. Dreyfoos School of the Arts ;FL;K-12 ;Attack on other persons(s) resulting in injury or death;1;26.708832;-80.061626
06 07 2013;Santa Monica, CA ;Santa Monica College ;CA;College ;Attack on other persons(s) resulting in injury or death;1;34.017023;-118.469755
05 03 2013;Hattiesburg, MS ;University of Southern Mississippi ;MS;College ;Gun fired unintentionally resulting in injury or death;0;31.330012;-89.334042
04 29 2013;Cincinnati, OH ;La Salle High School ;OH;K-12 ;Attempted or completed suicide, with no intent to injure other person;0;39.189096;-84.586614
04 16 2013;Tuscaloosa, AL ;Stillman College ;AL;College ;Attack on other persons(s) resulting in injury or death;1;33.198265;-87.585922
04 15 2013;Grambling, LA ;Grambling State University ;LA;College ;Attack on other persons(s) resulting in injury or death;1;32.521291;-92.719296
04 13 2013;Elizabeth City, NC ;Elizabeth City State University ;NC;College ;Attack on other persons(s) resulting in injury or death;1;36.281065;-76.21396
04 12 2013;Christiansburg, VA ;New River Community College ;VA;College ;Attack on other persons(s) resulting in injury or death;1;37.165675;-80.427552
03 21 2013;Southgate, MI ;Davidson Middle School ;MI;K-12 ;Attempted or completed suicide, with no intent to injure other person;0;42.192549;-83.194443
03 18 2013;Orlando, FL ;University of Central Florida ;FL;College ;Attempted or completed suicide, with no intent to injure other person;0;28.602427;-81.20006
02 27 2013;Atlanta, GA ;Henry W. Grady High School ;GA;K-12 ;Gun fired unintentionally resulting in injury or death;0;33.780552;-84.371421
02 13 2013;San Leandro, CA ;Hillside Elementary School ;CA;K-12 ;Attack on other persons(s) resulting in injury or death;1;37.701747;-122.116367
02 01 2013;Altanta, GA ;Morehouse College ;GA;College ;Attack on other persons(s) resulting in injury or death;1;33.745955;-84.413865
01 31 2013;Atlanta, GA ;Price Middle School ;GA;K-12 ;Attack on other persons(s) resulting in injury or death;1;33.708962;-84.387494
01 22 2013;Houston, TX ;Lone Star College North Harris Campus ;TX;College ;Attack on other persons(s) resulting in injury or death;1;30.007138;-95.379703
01 16 2013;Chicago, IL ;Chicago State University ;IL;College ;Attack on other persons(s) resulting in injury or death;1;41.717958;-87.609374
01 15 2013;Hazard, KY ;Hazard Community and Technical College ;KY;College ;Attack on other persons(s) resulting in injury or death;1;37.234696;-83.175954
01 15 2013;St. Louis, MO ;Stevens Institute of Business & Arts ;MO;College ;Attack on other persons(s) resulting in injury or death;1;38.632973;-90.201098
01 10 2013;Taft, CA ;Taft Union High School ;CA;K-12 ;Attack on other persons(s) resulting in injury or death;1;35.146303;-119.460509
01 08 2013;Fort Myers, FL ;Apostolic Revival Center Christian School ;FL;K-12 ;Attack on other persons(s) resulting in injury or death;1;26.640191;-81.834505
